,artist,description,height,image,price,size,title,url_id,width,area,price_sqin,price_class,avg_r_value,avg_g_value,avg_b_value,avg_hue,avg_saturation,avg_value
301,rolfe horn,,10.0,http://ecx.images-amazon.com/images/I/61TISaZJ7tL._QL70_.jpg,1500.0,"[u'10', u'10', u'0.25 in.']","Holding Buddha, Ayutthaya, Thailand 2000,",B00E7GYFUE,10.0,100.0,15.0,4.0,94.1269196787,95.1530883534,99.5465783133,114.809991968,22.7388955823,99.5485060241
302,edward fielding,"Paradise Lost is part of a series of fine art landscape photographs taken in Maui, Hawaii exploring the question if a paradise can be preserved. This image shows smoke from burning sugar cane fields nearly blocking out the early morning sun as it rises above the extinct volcano Mt. Haleakal?. This image was part of series featured in Fielding's book ""The Last Resort"" which takes its name from the Eagles song on the album Hotel California. The song ""The Last Resort"" mentions Maui and a neon sign above a church and warns not to call places paradise because that seems to doom it and we only have a limited number of them. Fielding's Maui photographs explore the beauty of Maui as well as man's blemishes and exploitation of nature. This square print is made using archival inks rated at 70+ years. The print size is just under 10""x10"" inches with the intention of a small amount of white showing between the mat and frame. 10""x10"" mats and frames are readily available. Free shipping is included in the price.",16.0,http://ecx.images-amazon.com/images/I/41MJ97mOsHL._QL70_.jpg,325.0,"[u'16', u'16', u'0.1 in.']","Paradise Lost,",B00J81WIK2,16.0,256.0,1.26953125,2.0,113.060332,113.060332,113.060332,0.0,0.0,113.060332
303,nicholas bell,"Title: Sailboat on Winter Water ~ Image Size: 16 x 20 inches / print only / limited edition of 50. This archival pigment print is made on Canson Photoraphique Baryta Paper ~ a museum quality paper with a satin finish. Comes signed, dated, and numbered on the back with COA. Ships flat via USPS priority and is carefully packaged for safe delivery.",20.0,http://ecx.images-amazon.com/images/I/31oE0c3WgaL._QL70_.jpg,262.0,"[u'20', u'16 in.']","Sailboat on Winter Water,",B00PRTKXJM,16.0,320.0,0.81875,1.0,201.438375,201.438375,201.438375,0.0,0.0,201.438375
304,jon bidwell,"Window Pane is a photograph of Black Eyed Susans composited with a photograph of natural stone to provide a unique texture. Technical Information: This is a limited edition photograph produced on Epson Premium Presentation Fine Art Matte Media using an archival pigment. Each photograph is produced, signed and numbered by the artist. Only one hundred or fewer prints are produced in each series. Prints are delivered in a crystal clear presentation sleeve supported with a white backing board. On 8.5 x 11 media the printed image is 6 x 9 inches, leaving a one inch white border. This white border allows for for easy framing with or without a matte. Perfect for small spaces that need a splash of unique artistry. Please feel free to contact me with any additional questions you may have.",8.5,http://ecx.images-amazon.com/images/I/51KhvELf9CL._QL70_.jpg,59.0,"[u'8.5', u'11', u'0.2 in.']","Window Pane,",B00SGOZQ3I,11.0,93.5,0.631016042781,1.0,185.367258312,168.063810742,131.353488491,14.3960255754,106.387667519,186.074071611
305,barbara jordan,,10.0,http://ecx.images-amazon.com/images/I/414sXVl%2BsjL._QL70_.jpg,295.0,"[u'10', u'15']","Impassioned,",B00GRG80S0,15.0,150.0,1.96666666667,2.0,124.053987988,55.7858498498,17.7157057057,10.0003423423,219.053813814,124.054012012
306,brigitte carnochan,Floating World,8.75,http://ecx.images-amazon.com/images/I/51Y04HUUYvL._QL70_.jpg,900.0,"[u'8.75', u'8.75 in']","In the Autumn,",B00E52N7B8,8.75,76.5625,11.7551020408,4.0,172.25066,158.094836,128.332028,24.013144,68.879832,173.31538
307,tracy mewmaw,"Limited edition, (series of 100), signed and numbered, fine art giclee print. Printed with archival pigment based inks on acid free archival fine art paper. Please note that the size indicates the sheet size the image is printed on. All of my prints have roughly a 1"" white border around the images to allow for signing and numbering. Kaw Point is the name given to the point where the Kansas River terminates at the Missouri River in the West Bottoms area of Kansas City, Kansas. Kaw Point is also where the Missouri ceases its southerly course and turns to flow generally east through the State of Missouri to the Mississippi River at St. Louis. Kaw Point was part of the land originally claimed by Spain, then by France, until ultimately the United States bought it as part of the Louisiana Purchase in 1803. Following the Louisiana Purchase of 1803 the Lewis and Clark Expedition left St. Louis on a mission to reach the Pacific Ocean. Lewis and Clark camped near the point on June 26-28, 1804. All of my prints come with a certificate of authenticity and are shipped rolled in a heavy duty shipping tube via USPS Priority fully insured. Other sizes available upon request.",19.0,http://ecx.images-amazon.com/images/I/51UyAspsJmL._QL70_.jpg,98.0,"[u'19', u'13 in.']","Kaw Point View,",B00GJ9SASA,13.0,247.0,0.396761133603,0.0,31.498664723,38.114361516,70.3121049563,99.9527755102,175.559078717,79.1010087464
308,christian witkin,"I believe Bardem had just begun shooting No Country For Old Men with the Coen Brothers at the time of this image. He was extremely cool and relaxed, game to do just about anything. He has a great personality, focusing wholly on the situation at hand and performing with complete abandon. It's fantastic!CURATOR'S NOTESI&rsquo;m honored to introduce Christian Witkin to the UGallery community. As a student of the world, Christian seeks to capture the unguarded, true nature of his subjects. His portfolio spans continents and decades, granting us access to indigenous tribal cultures in Ethiopia, Thai Ladyboys and the likes of Martin Scorsese, Steve Jobs, and Tiger Woods. Each of his photos tells a very personal story. This image of Javier Bardem fascinated me. Christian said it was taken during the filming of No Country for Old Men, and it feels like looking at the actor both in and out of character. On one side we see the calculated protagonist, and on the other, the artist&rsquo;s self-examination of the role.",16.0,http://ecx.images-amazon.com/images/I/41sJSKBwnUL._QL70_.jpg,1385.0,"[u'16', u'20 in.']","16x20 in. Walnut Christian Witkin Javier Bardem, Actor, New York City, 2004,",B00WAARSO4,20.0,320.0,4.328125,3.0,107.479762963,102.707792593,102.510671605,58.8468246914,34.3112,108.126360494
309,shelly hanan,"Beautiful, vibrant photographs are printed onto dye-infused aluminum. By allowing the silver tone of the metal to show through images filled with color and texture, light is bounced back out towards the viewer, which creates depth and an edgy sort of beauty. All photographs are hand numbered and signed by the artist. Lightweight and ready to hang, no framing or glass necessary. Superior archival quality. Scratch resistant and waterproof.",12.0,http://ecx.images-amazon.com/images/I/5158BQOVBXL._QL70_.jpg,275.0,"[u'12', u'18 in.']","Outside Yountville,",B00KSAXBQC,18.0,216.0,1.27314814815,2.0,70.8881501502,77.038048048,52.4076456456,57.4967627628,105.684624625,82.1174234234
310,elliott mcdowell,Elliott McDowell fantasy photograph of the famous Angel Oak with a peacock.,20.0,http://ecx.images-amazon.com/images/I/612G0flZBvL._QL70_.jpg,1250.0,"[u'20', u'20 in.']","Angel Oak,",B00DYHPP4C,20.0,400.0,3.125,3.0,86.703388,75.947144,63.326216,26.350356,83.0448,86.81616
311,christine palamidessi,"Large chromatic (artist proof) photo of an Aphrodite sculpture. Aphrodite is Greek goddess of love,beauty, pleasure, and procreation. Image incorporates beauty of the female torso as well as sea element-- the mermaid tail. Image floats on black background. Display with belly down ( my choice)-- or upright if you like. One image print in this 20 x 15 size.",20.0,http://ecx.images-amazon.com/images/I/51uH6wyTkIL._QL70_.jpg,95.0,"[u'20', u'15', u'0.2 in.']","Aphrodite Muse,",B0175KPO2G,15.0,300.0,0.316666666667,0.0,66.720784,71.8769546667,72.7442986667,84.745664,146.827317333,78.9941546667
312,will mcbride,"Signed, titled and dated on verso.",20.0,http://ecx.images-amazon.com/images/I/51XdJ%2BUhleL._QL70_.jpg,4500.0,"[u'20', u'24 in.']","The Bottle Game, Wanssee, Berlin,",B00E3HYBRE,24.0,480.0,9.375,3.0,103.667993569,103.667993569,103.667993569,0.0,0.0,103.667993569
313,roy volkmann,Premium Lithograph printed on paper.,11.75,http://ecx.images-amazon.com/images/I/31rkZxcyNBL._QL70_.jpg,100.0,"[u'11.75', u'11.75 in.']","Desire,",B01DDXFU8M,11.75,138.0625,0.724309642372,1.0,133.040525,124.00895,112.626925,18.62269375,64.94695,133.12608125
314,william witt,"Signed, dated, and editioned 12/25 on recto.",11.5,http://ecx.images-amazon.com/images/I/51w6BvVYR2L._QL70_.jpg,4500.0,"[u'11.5', u'10 in.']","Hans Hofmann, Friday Critique at Provincetown School,",B00E3HWZRM,10.0,115.0,39.1304347826,4.0,62.9278208955,62.7057313433,62.6520341151,14.7278464819,1.03527078891,62.9278208955
315,willie miller,"This is an exemplary work by the artist, it will be a stunning addition to any space.",12.0,http://ecx.images-amazon.com/images/I/51dEcJt10YL._QL70_.jpg,1200.0,"[u'12', u'18 in.']","Pool Service,",B00EILOC8I,18.0,216.0,5.55555555556,3.0,107.842654655,122.423885886,138.774858859,103.757441441,85.9765645646,145.679801802
316,harry benson,"Signed, titled, dated and 11 of 35 on recto.",22.0,http://ecx.images-amazon.com/images/I/41Zqbw542WL._QL70_.jpg,4000.0,"[u'22', u'17 in.']","Ringo, New York,",B00E3IE38A,17.0,374.0,10.6951871658,4.0,75.6083486974,75.6083486974,75.6083486974,0.0,0.0,75.6083486974
317,matthew carden,Archival Pigment on paper,24.0,http://ecx.images-amazon.com/images/I/41mX5m9KjYL._QL70_.jpg,1750.0,"[u'24', u'30', u'0.1 in.']","Scallop Super Farmers,",B00DWKPQ8G,30.0,720.0,2.43055555556,3.0,198.012941476,204.343012723,199.04519084,70.4929109415,36.0546412214,212.13319084
318,michael meyersfeld,,23.6,http://ecx.images-amazon.com/images/I/51UaQrkouwL._QL70_.jpg,2500.0,"[u'23.6', u'31.5 in.']","Woman Undone - Dance,",B00SVIRTIE,31.5,743.4,3.36292709174,3.0,62.8067112299,78.0850855615,78.9431336898,91.9105614973,74.8025561497,79.232368984
319,eszter burghardt,"I traveled to Iceland twice now, for several months each time. The image Wooly Mud Pot is based on this highly geothermal active little island. The earth is alive and it moves and shifts in front of one's eyes. On several hikes I came across many mud pots and fumaroles and other volcanic treats. I am obsessed with all of the steaming, burping, boiling, and exploding landscapes of Iceland, along with the sheep that seem to be inside every crater, and lurking amongst the lava fields. The image is a photograph of a miniature diorama made entirely out of wool and water. After my travels to Iceland I became very anxious to use wool somehow to re-construct the landscape. I learned how to work with raw wool. I cleaned it, dyed it, felted it and learned how to knit. This messy but very rewarding process strengthened my bond to the wool and I became more aware of its nature. I used Kool-Aid to dye the wool. I used Icelandic wool brought back from Iceland, some local wool from an Icelandic sheep farm, and old salvaged wool sweaters that I cut up, felted and dyed. I kept the photography very basic without using any computer based added effects, and I used a macro lens to shoot the images in as much natural light as possible. By using the wool I was able to re-live the Icelandic landscape through my fingertips and camera lens.",11.0,http://ecx.images-amazon.com/images/I/414uq9LFhBL._QL70_.jpg,100.0,"[u'11', u'14 in.']","Wooly Mud Pot,",B00LLQ2YOC,14.0,154.0,0.649350649351,1.0,46.967312,59.4280533333,57.2884266667,76.6916426667,60.8006133333,62.180896
320,paul tillinghast,"Pop image, Broccoli Iced, Paul Tillinghast New York City, 2014",30.0,http://ecx.images-amazon.com/images/I/51zZ6KnNOcL._QL70_.jpg,470.0,"[u'30', u'24 in.']","Gorgeous Chicken Parmesan On Ice,",B00NEN8IEA,24.0,720.0,0.652777777778,1.0,132.271738667,128.412709333,119.4996,11.879008,31.2619573333,132.50632
321,alberto giuliani,"Unicorn with balloons, trying to fly. Picture part of ""Me and the Unicorn"" story. Italy 2013",9.84,http://ecx.images-amazon.com/images/I/51QrMHtckJL._QL70_.jpg,980.0,"[u'9.84', u'9.84', u'0.2 in.']","Unicorn with balloons, trying to fly.,",B00OAMG6NO,9.84,96.8256,10.1212902373,4.0,140.018436,140.912156,125.546136,77.687588,105.326888,160.996308
322,robert richfield,,6.5,http://ecx.images-amazon.com/images/I/31rHKWjwiVL._QL70_.jpg,2950.0,"[u'6.5', u'42 in.']","Oaxaca-11 Oaxaca, México,",B00PMAAD7I,42.0,273.0,10.8058608059,4.0,179.009714286,140.512952381,95.3676190476,17.4345396825,125.682571429,179.204952381
323,mikhail palinchak,,12.0,http://ecx.images-amazon.com/images/I/41gaVKRoknL._QL70_.jpg,365.0,"[u'12', u'18 in.']","12x18 in. Walnut Mikhail Palinchak Untitled 6,",B00PVCNTYG,18.0,216.0,1.68981481481,2.0,116.636271605,108.421995062,105.21717037,62.1338962963,73.8561234568,118.362454321
324,katherine gendreau,"An abstract, long exposure seascape taken at Brighton Beach in Coney Island, New York.",16.0,http://ecx.images-amazon.com/images/I/31kCsB11Z0L._QL70_.jpg,200.0,"[u'16', u'24 in.']","Intertidal,",B00K97BLX4,24.0,384.0,0.520833333333,1.0,107.196526946,109.74888024,100.99708982,59.1935209581,146.346191617,135.088736527
325,katherine gendreau,A vintage 1970s New York City subway train.,16.0,http://ecx.images-amazon.com/images/I/51c5Bs2iH6L._QL70_.jpg,200.0,"[u'16', u'24 in.']","Soul Train,",B00I1PI7EW,24.0,384.0,0.520833333333,1.0,161.776774775,119.70763964,86.3618378378,46.8244444444,140.075981982,164.489921922
326,konstantin chalabov,Shadow people on the wall in a refugee camp in Crimea.,16.0,http://ecx.images-amazon.com/images/I/51LKykY87PL._QL70_.jpg,175.0,"[u'16', u'24 in.']","Refugees,",B016IXQ6MI,24.0,384.0,0.455729166667,0.0,66.9741441441,47.4007867868,28.9520900901,17.7228948949,144.395723724,67.0495075075
327,christophe catelain,",",32.28,http://ecx.images-amazon.com/images/I/51ABqP6nWLL._QL70_.jpg,600.0,"[u'32.28', u'8.27', u'1.18 in.']","Art'n Furious,",B01ETXGUFW,8.27,266.9556,2.24756476358,3.0,210.534110345,205.2194,208.679310345,41.7328758621,39.2322965517,216.971524138
328,pawel herzog,"Pawel Herzog has been taking photographs of Lodz (Poland) for many years. His works have won in numerous contests.In this series, he combines his photographs of today's Lodz with the photographs taken by Mendel Grosman, (the reporter of the ghetto reality and everyday life of the Jewish closed quarter in Lodz, during the World War II). Hundreds of negatives that survived in the archives show the reality of the life in the ghetto. Herzog often photographs the same places as Grosman, as they were within the ghetto walls and still bear the signs of the past.""The past is still present in Baluty (the neighborhood, where the ghetto was placed during the World War II); you can feel it in the courtyards, staircases, storages, where there used to be a dovecote"".The history is very important to Herzog. He wanders around Lodz with a camera in his hand, and then he browses through old books, he talks to people, who still remember those times. He captures slogans painted on the walls visibly damaged by the passing time - the slogans which would hurt and offend the former citizens of Lodz. The slogans drawn by the hand of a modern hooligan leave the unquestioned mark on one's attitude towards the history.""Sometimes it was difficult to find an untouched place, free from graffiti. I remember the moments when I thought they are not there until I blew up the photos just to find something appearing in the background"". If we remember about the history, there is a chance, we don't make the same mistakes, we are aware of some situations which may cause such dramatic acts.",12.0,http://ecx.images-amazon.com/images/I/516jIE2vjEL._QL70_.jpg,175.0,"[u'12', u'16', u'0.1 in.']","Baluty 03,",B00KZZJJKM,16.0,192.0,0.911458333333,1.0,93.2603542857,86.1743142857,76.7438914286,30.2946114286,73.1972914286,94.0480857143
329,joel degrand,"Uniforms, Outfits, & Accessories We think of the word ""uniform"" to mean the distinctive clothing worn by members of the same organization. However, in today's society the term is somewhat distilled and can be used interchangeably to denote outfits that are similar in nature, but not exactly the same, and not necessarily worn by members of an organization. The history of the uniform, goes back to the history of clothing and textiles. Textiles are defined as felt or spun fibers made into yarn that are netted, looped and knitted or woven into fabrics. They first appeared in the Middle East during the late Stone Age. From these ancient times to the present day, the production of textiles evolved and influenced how people clothed themselves. Uniforms, and outfits, are a decisive part of the human physical appearance and this appearance has a social significance in all parts of the world. Every society has a dress code that is well defined and understood by most members of that particular group. The dress code has specific rules, which in turn signal a message given by a person's clothing and the way it is worn. The message may indicate income, social class, religious affiliation, attitude, sexual orientation, marital status, or sexual availability. It may be seen in the clothes worn in the armed services, the paramilitary, the police, security guards, and the clergy. It can also be seen in shops, banks, post offices airports, bars, restaurants and hotels, sports teams, clubs, schools, and prisons. Sometimes corporations use uniforms to create a brand or corporate image. (The first service uniform registered in the U.S. Patent and Trademark office was the Playboy Bunny outfit.). Uniforms, and outfits in general, send social signals that usually indicate personal and cultural identity. The idea of dress code works on many levels and is defined in many ways. One example...",90.0,http://ecx.images-amazon.com/images/I/51HR%2Bzm4-YL._QL70_.jpg,10000.0,"[u'90', u'72', u'0.5 in.']","Chan, Street Sweeper, Zhangmutou, China,",B00IMR5LDY,72.0,6480.0,1.54320987654,2.0,148.983002571,139.717588689,133.197156812,83.1759383033,54.5271876607,155.450236504
330,james conley,The Space Shuttle Discovery.,8.5,http://ecx.images-amazon.com/images/I/61ZcnZo3ubL._QL70_.jpg,140.0,"[u'8.5', u'11', u'0.1 in.']","Discovery,",B01CC79BX0,11.0,93.5,1.49732620321,2.0,87.7559099099,90.2842822823,87.1924804805,72.2221321321,81.2828948949,99.1412492492
331,allen thornton,"As an outdoor photographer, I believe the appreciation and the enjoyment of outdoor photography can lead to a respect and love for nature and in turn this can lead to conservation and protection of the natural world and the wildlife that lives within it. My goal as a photographer is to build on this belief with each image. My images are not intended just as an historical record of what used to be, but as a constant reminder of what must be valued and protected today.",11.0,http://ecx.images-amazon.com/images/I/51ekFyUqkqL._QL70_.jpg,75.0,"[u'11', u'0.25', u'14 in.']",Dogwood Spring,B0170OO1KI,14.0,154.0,0.487012987013,0.0,77.425394402,72.7039287532,56.9830534351,35.903475827,121.268605598,81.0863613232
332,mark mawson,Mark's unique and highly original skill at capturing life underwater has won him many awards.,24.0,http://ecx.images-amazon.com/images/I/41cay-AGP0L._QL70_.jpg,400.0,"[u'24', u'20 in.']","Goldfish 105,",B016VGDVQ6,20.0,480.0,0.833333333333,1.0,48.6085515588,20.4781966427,12.5525995204,18.186235012,73.6244652278,48.7763165468
333,horst p. horst,"Signed, titled, and dated on print verso. Photographers embossed stamp on print recto.",24.0,http://ecx.images-amazon.com/images/I/41JKHFrj38L._QL70_.jpg,16000.0,"[u'24', u'20 in.']","Lisa with Turban, New York,",B00E8A9V12,20.0,480.0,33.3333333333,4.0,70.5304409091,70.5304409091,70.5304409091,0.0,0.0,70.5304409091
334,sally stockhold,"Maria Callas (1923-1977). From ""myselfportraits, ode to icons"" Series. An American-born soprano of Greek ancestry, Callas was the most renowned opera singer of the twentieth century. She combined an impressive bel canto technique with great dramatic gifts and is still considered the finest actor ever to appear on the operatic stage. Opera performances to this day are defined as B.C. and A.C., before Callas and after Callas! She had a nine year love affair with Aristotle Onassis that he abruptly ended in 1968 to marry Jacqueline Kennedy. Soon after, Onassis renewed his relationship with Callas and they began to meet secretly to avoid the press - and Jackie.",28.0,http://ecx.images-amazon.com/images/I/51-Gf0Nt6-L._QL70_.jpg,1800.0,"[u'28', u'20 in.']","Maria Callas, ""First I lost weight, then I lost my voice, then I lost Onassis"",",B00YZ5AI6M,20.0,560.0,3.21428571429,3.0,118.946236422,118.794958466,123.572536741,118.918747604,17.0048945687,123.655904153
335,michael verlangieri,"Mexican Market by Michael Verlangieri. Limited to 25 prints, each print is hand signed and numbered by the artist. The image is printed ""Giclee"" on special imported photographic paper. The image size is 25.5x36 inches. The paper size is 28x38 inches. The image is printed using specially engineered ink technology for optimum image quality and over 100 years of lightfastness.",25.5,http://ecx.images-amazon.com/images/I/61hqJtsNb-L._QL70_.jpg,211.0,"[u'25.5', u'36 in.']","Mexican Market Art Photograph Jalisco Mexico,",B00QTAQSII,36.0,918.0,0.229847494553,0.0,168.891932292,91.92403125,65.6097135417,18.5235104167,161.060880208,171.448942708
336,josé dias herrera,Running alone in the evening at Belmiro. Pele grew accustomed to training more often than his teammates with his dedication to fitness.,11.81,http://ecx.images-amazon.com/images/I/51-IyXiDjIL._QL70_.jpg,275.0,"[u'11.81', u'11.81 in.']","Running in a tracksuit on the field at Belmiro,",B00GW40EZY,11.81,139.4761,1.9716639625,2.0,103.332321932,103.332321932,103.332321932,0.0,0.0,103.332321932
337,edward fielding,"A white cow illuminated by moonlight, Etna, New Hampshire. Fine art photography by Edward M. Fielding",17.0,http://ecx.images-amazon.com/images/I/51NNkOH-j-L._QL70_.jpg,325.0,"[u'17', u'11', u'0.1 in.']","Sacred Cow,",B00QGGYWGK,11.0,187.0,1.73796791444,2.0,15.9791891892,15.9791891892,15.9791891892,0.0,0.0,15.9791891892
338,nicholas bell,"Title: Silent Flight Image Size: 20 x 20 inches / print only / limited edition of 50. This is a warm color - toned archival print made on cotton rag fine art paper with a textured matte finish. Printed without a border. Comes signed, dated, and numbered on the back with C.O.A. Ships flat via USPS priority and is carefully packaged for safe delivery.",20.0,http://ecx.images-amazon.com/images/I/31KGCLh%2Bh5L._QL70_.jpg,345.0,"[u'20', u'20 in.']","Silent Flight,",B00NUVAYX4,20.0,400.0,0.8625,1.0,243.997816,230.097688,221.070616,12.077596,24.021084,243.997816
339,neal l. parisi,"Photographed at ""Return to Freedom"" an American Wild Horse Sanctuary in Lompoc, California",8.0,http://ecx.images-amazon.com/images/I/51akLOXFAKL._QL70_.jpg,135.0,"[u'8', u'12']","A Blond Mane,",B00GRG60K0,12.0,96.0,1.40625,2.0,155.375237237,117.772576577,86.5691051051,13.6020720721,117.197921922,155.375237237
340,barbara jordan,Original art photography,14.0,http://ecx.images-amazon.com/images/I/51I5yEVGWRL._QL70_.jpg,295.0,"[u'14', u'11 in.']","Blue Poppy,",B00GRG7VOY,11.0,154.0,1.91558441558,2.0,168.307282443,185.953124682,125.466844784,49.1120814249,99.3327379135,189.54859542
341,jack shallit & barker davis,"Marlene Dietrich by Jack Shallit &amp; Barker Davis; Important Eastman Kodak Tri-Color Camera; signed on mount, below image, lower right (recto). This was an experimental photograph said to be first color portrait of Dietrich. Born Maria Magdalene Dietrich in 1901 in Berlin, Germany, Marlene Dietrich was known for her sex appeal and glamour as one of the leading movie stars in the 1930s and 1940s. Dietrich started acting as a teenager and first appeared on screen in 1923 in ""Tragedy of Love"". Though Dietrich was popular in Germany during the late 1920s, it was her role in the 1930 film ""The Blue Angel"" also made in English, which made Dietrich a star in the United States. After the film, Dietrich moved to the United States and often played a femme fatale in films. Opposing the Nazi regime, Dietrich became a United States citizen in 1939.",14.0,http://ecx.images-amazon.com/images/I/51Qktn1qxzL._QL70_.jpg,2585.0,"[u'14', u'11', u'1 in.']","Carbro Photograph of Marlene Dietrich,",B016APMK88,11.0,154.0,16.7857142857,4.0,152.645129973,127.424535809,102.06601061,27.3367798408,79.8405251989,154.55270557
342,brett weston,Signature undermatte. Window cut to show signature lower right corner.,11.5,http://ecx.images-amazon.com/images/I/41tN8itrvzL._QL70_.jpg,4500.0,"[u'11.5', u'10.75 in.']","Calla Lily,",B00GNPED7C,10.75,123.625,36.4004044489,4.0,51.7140688172,46.3940258065,42.1737290323,15.1858107527,98.4867268817,51.7334236559
343,edward s. curtis (1868-1952),"Framed photogravure by Edward S.Curtis. Plate 427. Published in ""The North American (1907-1930) v. 12, The Hopi""",17.38,http://ecx.images-amazon.com/images/I/512uMW-MVUL._QL70_.jpg,3650.0,"[u'17.38', u'1', u'13.75 in.']","East Mesa Girls,",B01B3Q44TW,13.75,238.975,15.2735641804,4.0,172.131248082,140.330506394,115.989907928,12.9689053708,87.4455601023,172.131248082
344,michael kenna,"This is an exemplary work by the artist, it will be a stunning addition to any space.",8.0,http://ecx.images-amazon.com/images/I/41ZggOUgYML._QL70_.jpg,4000.0,"[u'8', u'7.5 in.']","Golden Gate Bridge,",B00E9RQRUM,7.5,60.0,66.6666666667,5.0,191.755106173,183.266148148,181.958977778,57.6279308642,25.4094320988,191.980893827
345,tom baril,,29.5,http://ecx.images-amazon.com/images/I/41ZB6D5DplL._QL70_.jpg,2400.0,"[u'29.5', u'24.1 in.']","Hosta, 1998,",B00YB83FHM,24.1,710.95,3.37576482172,3.0,71.3571413333,63.0637226667,58.0837013333,15.3675413333,79.6657706667,71.4089813333
346,dianne blell,"Signed, titled, dated and 4 of 10 on verso.",19.0,http://ecx.images-amazon.com/images/I/51NSBfp2dhL._QL70_.jpg,4500.0,"[u'19', u'13 in.']","The Lovers,",B00E59A7MI,13.0,247.0,18.2186234818,4.0,80.3462246575,87.1137479452,70.0724219178,41.502909589,72.3201589041,90.698569863
347,joseph shields,"Archival Ink Jet Print. Signed Limited Edition #2 of 10. Printed on museum quality paper with torn edges and floated in 30"" x 24"" off white mat. Paper size is @ 22"" x 18"". ABOUT MY PRINTS My photographs presented here for Zatista are sold as archival ink jet prints on museum quality paper, the same medium I currently use for all my exhibition work. Prices listed are for matted prints. Mats are most usually off white in color (if another color is used, it will be noted). I leave a white border around the image on the prints and then tear the paper at the border edges. The prints are ""floated"" in the mat, with torn edges exposed, giving emphasis that these are original works on paper. Paper sizes listed may be off just a fraction since each sheet is individually hand torn. Feel free to contact me at if you have questions about how the photographs are presented or want to discuss a different presentation than what I describe here. I work with a master printer and offer my photographs in very limited, signed editions and each in one size only. Many of the images I offer on the Zatista site have been exhibited and included in the permanent collections of museums and cultural institutions across the country and around the world. Thanks so much for your interest in my work. Joseph Shields",30.0,http://ecx.images-amazon.com/images/I/51qqulxNayL._QL70_.jpg,750.0,"[u'30', u'24', u'1 in.']","Madonna,",B01BTPP2T8,24.0,720.0,1.04166666667,2.0,73.1880958084,82.3937305389,76.2651317365,72.8426467066,83.7850239521,89.4981317365
348,chris faust,"Printed on larger paper so a border is available, Signed, titled, editioned & dated either on work or on label at the collector's request.",12.0,http://ecx.images-amazon.com/images/I/316G0hjl-ZL._QL70_.jpg,2400.0,"[u'12', u'38 in.']","Nocturnes: View of Downtown Minneapolis from Base of Stone Arch Bridge, Minneapolis, Minnesota,",B00E9HLIL0,38.0,456.0,5.26315789474,3.0,73.5408026316,73.5408026316,73.5408026316,0.0,0.0,73.5408026316
349,chris faust,"Printed on larger paper so a border is available, Signed, titled, editioned & dated either on work or on label at the collector's request.",38.0,http://ecx.images-amazon.com/images/I/31j8xZj4t0L._QL70_.jpg,2400.0,"[u'38', u'0', u'12 in.']","Nocturnes: View of Downtown Minneapolis under Tenth Avenue Bridge, Minneapolis, Minnesota,",B00E9HLDGA,12.0,456.0,5.26315789474,3.0,61.3836923077,61.3836923077,61.3836923077,0.0,0.0,61.3836923077
350,carolyn brown,,30.0,http://ecx.images-amazon.com/images/I/41iiKeaG8VL._QL70_.jpg,1500.0,"[u'30', u'30 in.']","Pyramid of the Niches, Veracruz, Mexico,",B00E4X755C,30.0,900.0,1.66666666667,2.0,110.2881875,125.515775,130.4914,62.276075,73.7905875,142.9946125
351,artur sikora,"Photograph was taken in Liberty Hall in Dublin and it's a part of 'Unfulfilled Dream' series about Irish Modernist Architecture. 'The Unit' was selected for 182 Annual Exhibition in Royal Hibernian Academy Gallery in Dublin and also placed in exhibition catalog as a one of just a few photographs. Made with: Graflex Crown Graphic large format camera Schneider-Kreuznach Super-Angulon 90mm 8.0 Fomapan 100@64 4x5 developed in Caffenol-c-m This is limited edition (15 pieces) print, pencil signed on print recto and signed, stamped with date, print date and edition number in ink on print verso, printed on beautiful Canson Infinity Rag Photographique museum quality matte paper. Paper size (A3+) 33cm x 48cm (13x19 inch) Print size 28cm x 35.5cm (11x14 inch) [ unmounted/unframed print ]",13.0,http://ecx.images-amazon.com/images/I/61AsgCPKksL._QL70_.jpg,695.12,"[u'13', u'18.9 in.']","The Unit,",B0175KP3OU,18.9,245.7,2.82914122914,3.0,81.036065,81.036065,81.036065,0.0,0.0,81.036065
